certamen;origen;fecha;anio;cerveceria;cerveza_ganadora;estilo;estilo_corregido;estilo_limpio;estilo_cliente;premio;medalla_base;tipo_premio;subcategoria;ciudad;pais
Brussels Beer Challenge;Bélgica;2018-10;2018;Bruut Bier;Wazig;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Bronze Medal;Bronce;Beer;BeerStyle;;Países Bajos
Brussels Beer Challenge;Bélgica;2018-10;2018;Master Gao Brewing Co. of Nanjing;Birdland;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Gold Medal;Oro;Beer;BeerStyle;;China
Brussels Beer Challenge;Bélgica;2018-10;2018;Shangri-la Highland Craft Brewery Co.,ltd.;Buddha's Hand;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Bronze Medal;;Beer;BeerStyle;;China
Brussels Beer Challenge;Bélgica;2018-10;2018;Sierra Nevada Brewing Co;Hazy Little Thing;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Silver Medal;Plata;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2019-10;2019;Breakside Brewery/Taproom;What Rough Beast;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Bronze Medal;Bronce;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2019-10;2019;Reuben's Brews;Hazealicious;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Gold Medal;Oro;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2019-10;2019;Sierra Nevada Brewing Co;Hazy Little Thing;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Silver Medal;Plata;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2019-10;2019;Witchcraft Brewery;Liuxi Hazy IPA;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Bronze Medal;Bronce;Beer;BeerStyle;;China
Brussels Beer Challenge;Bélgica;2020-10;2020;Brouwerij Frontaal;Juice Punch V10;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Bronze Medal;Bronce;Beer;BeerStyle;;Países Bajos
Brussels Beer Challenge;Bélgica;2020-10;2020;Master Gao Brewing Co. of Nanjing;Master Gao Birdland;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Bronze Medal;Bronce;Beer;BeerStyle;;China
Brussels Beer Challenge;Bélgica;2020-10;2020;Microbrasserie La Souche;Loup des Saules;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Gold Medal;Oro;Beer;BeerStyle;;Canadá
Brussels Beer Challenge;Bélgica;2020-10;2020;Revision Brewing Company;Disco Ninja;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Silver Medal;Plata;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2021-10;2021;Brouwerij Troost;New England;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Bronze Medal;Bronce;Beer;BeerStyle;;Países Bajos
Brussels Beer Challenge;Bélgica;2021-10;2021;Migration Brewing Company;Mo Haze Ic;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Bronze Medal;Bronce;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2021-10;2021;Sinobrew Craft Beer Co.,LTD;Chaos Devil King Hazy IPA;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Silver Medal;Plata;Beer;BeerStyle;;China
Brussels Beer Challenge;Bélgica;2021-10;2021;Wren House Brewing;Spellbinder;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Gold Medal;Oro;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2022-10;2022;Artmonster Brewery, Inc.;Over-the-Top IPA;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Silver Medal;Plata;Beer;BeerStyle;;Corea del Sur
Brussels Beer Challenge;Bélgica;2022-10;2022;DESTIHL Brewery;DeadHead Tourbus Hazy IPA;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Gold Medal;Oro;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2022-10;2022;Reuben's Brews;Reuben's Super Crush;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Bronze Medal;Bronce;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2022-10;2022;Wild West Brewing;FV9 Project- Peace Maker;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Bronze Medal;Bronce;Beer;BeerStyle;;China
Brussels Beer Challenge;Bélgica;2023-10;2023;Artmonster Brewery, Inc.;Over-the-Top;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Silver Medal;Plata;Beer;BeerStyle;;Corea del Sur
Brussels Beer Challenge;Bélgica;2023-10;2023;Belching Beaver Brewery;Hazers Gonna Haze Hazy IPA;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Gold Medal;Oro;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2023-10;2023;Destihl Brewery;Destihl DeadHead Tourbus Hazy IPA;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Silver Medal;Plata;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2023-10;2023;Uiltje Brewing Company;Have You Ever Been Yellow;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Bronze Medal;Bronce;Beer;BeerStyle;;Países Bajos
Brussels Beer Challenge;Bélgica;2024-10;2024;Hodad's Brewing Company;Turtle Town;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Silver Medal;Plata;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2024-10;2024;Uiltje Brewing Company BV;Gele Rakker;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Silver Medal;Plata;Beer;BeerStyle;;Países Bajos
Brussels Beer Challenge;Bélgica;2024-10;2024;vandeStreek Bier;Hazy Weekend;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Bronze Medal;Bronce;Beer;BeerStyle;;Países Bajos
Brussels Beer Challenge;Bélgica;2025-10;2025;Beijing Rushi Trading Co.,Ltd.;Rushi New England IPA;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Oro Medal;Oro;Beer;BeerStyle;;China
Brussels Beer Challenge;Bélgica;2025-10;2025;Whitefrontier;Copenhagen's calling;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Plata Medal;Plata;Beer;BeerStyle;;Suiza
Brussels Beer Challenge;Bélgica;2025-10;2025;Wren House Brewing;Spellbinder;New England Ipa;New England Ipa;New England Ipa;Hazy Ipa;Bronce Medal;Bronce;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2024-10;2024;Urbrew (China) Craft Beer Co., Ltd.;Urbrew Captain X Hazy Double IPA;New England IPABest Chinese Beer 2024;New England Ipa;New England Ipa;Hazy Ipa;Best Chinese Beer;Oro;Beer;BeerPais;;China
Brussels Beer Challenge;Bélgica;2018-10;2018;Bastards Brewery;Mark the Shadow;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Bronze Medal;Bronce;Beer;BeerStyle;;Brasil
Brussels Beer Challenge;Bélgica;2018-10;2018;Birrificio Dulac;La Scüra;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Gold Medal;Oro;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2018-10;2018;Hangzhou Cheerday Brewery Co., LTD;Cheerday Porter;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Bronze Medal;Bronce;Beer;BeerStyle;;China
Brussels Beer Challenge;Bélgica;2018-10;2018;Kamun srl;Nocturna;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Bronze Medal;;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2019-10;2019;Birrificio Otus Srl;Ambranera;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Gold Medal;Oro;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2019-10;2019;New Holland Brewing Co;The Poet;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Bronze Medal;Bronce;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2020-10;2020;Oedipus Brewing;Panty;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Gold Medal;Oro;Beer;BeerStyle;;Países Bajos
Brussels Beer Challenge;Bélgica;2021-10;2021;Oedipus Brewing;Panty;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Silver Medal;Plata;Beer;BeerStyle;;Países Bajos
Brussels Beer Challenge;Bélgica;2021-10;2021;Salto Brewery;Salto Stout;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Bronze Medal;Bronce;Beer;BeerStyle;;Serbia
Brussels Beer Challenge;Bélgica;2022-10;2022;Birrificio Settimo;Triskell;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Gold Medal;Oro;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2023-10;2023;Birrificio Di Legnano SRL;Olonella;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Bronze Medal;Bronce;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2023-10;2023;Cervejaria Colorado;Colorado Terezinha;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Bronze Medal;Bronce;Beer;BeerStyle;;Brasil
Brussels Beer Challenge;Bélgica;2024-10;2024;Browar za Miastem;Dobra Noc;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Bronze Medal;Bronce;Beer;BeerStyle;;Polonia
Brussels Beer Challenge;Bélgica;2025-10;2025;Antikorpo Brewing - Birrificio Cittavecchia;Black Wisdom;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Bronce Medal;Bronce;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2025-10;2025;RichKat Craft Brewing;Justout;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Plata Medal;Plata;Beer;BeerStyle;;China
Brussels Beer Challenge;Bélgica;2025-10;2025;Ventitre Srls;Urania - Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Oro Medal;Oro;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2018-10;2018;Brouwerij Boon;Oude Kriek Boon;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2018-10;2018;Gueuzerie Tilquin S.A.;Oude Mûre Tilquin à l'ancienne;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Bronze Medal;;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2018-10;2018;Lindheim Ølkompani;Coolship Cherry - Farmer's Reserve;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Noruega
Brussels Beer Challenge;Bélgica;2018-10;2018;Oud Beersel BVBA;Oude Kriek Oud Beersel;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2019-10;2019;Birra dell'Eremo;Selva Sour;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Bronze Medal;;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2019-10;2019;Brouwerij Boon;Oude Kriek Boon;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Bronze Medal;;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2019-10;2019;Gueuzerie Tilquin S.A.;Oude Quetsche Tilquin à l'ancienne;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2019-10;2019;Lindemans Brewery;Old Kriek Cuvée René;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2019-10;2019;Oud Beersel BVBA;Oude Kriek Oud Beersel;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2020-10;2020;Brouwerij Boon;Kriek Mariage Parfait;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2020-10;2020;Gueuzerie Tilquin S.A.;Oude Riesling Tilquin à l'ancienne;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2020-10;2020;Hof ten Dormaal;Kriek;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2020-10;2020;Oud Beersel BVBA;Oude Kriek Oud Beersel;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2020-10;2020;Oud Beersel BVBA;Schaarbeekse Oude Kriek Oud Beersel;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2021-10;2021;Lambiek Fabriek;Juicy/Wild Black-Belle;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2021-10;2021;Lambiek Fabriek;Juicy/Wild Muscar-Elle;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2021-10;2021;Lindheim Ølkompani;Coolship Blåbær - Farmer's Reserve;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Noruega
Brussels Beer Challenge;Bélgica;2021-10;2021;Oud Beersel BVBA;Schaarbeekse Oude Kriek Oud Beersel;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2022-10;2022;BV Lambiek Fabriek;Oude Kriek Schar-Elle;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2022-10;2022;Gueuzerie Tilquin S.A.;Oude Rhubarbe Tilquin à l'ancienne;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2022-10;2022;Gueuzerie Tilquin S.A.;Oude Roussanne Tilquin à l'ancienne;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2022-10;2022;Lindemans nv;Oude Kriek Cuvée René Lindemans;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2023-10;2023;Brouwerij Boon;BOON Millésime;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2023-10;2023;Brouwerij Boon;Oude Kriek Boon;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2023-10;2023;Brouwerij Kestemont;Kestemont Abrikozen;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2024-10;2024;BV Lambiek Fabriek;Juicy/Wild Rhub-Elle;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2024-10;2024;BV Lambiek Fabriek;Oude Kriek Jart-Elle;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2024-10;2024;Gueuzerie Tilquin S.A.;Oude Kriek de Schaerbeek Tilquin à l'ancienne;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2024-10;2024;Sako Brewery;Adelaar Oude Kriek;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2025-10;2025;Brouwerij Boon;Oude Kriek Boon;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Oro Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2025-10;2025;Lindemans nv;Oude Kriek Cuvée René;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Plata Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2025-10;2025;Pfriem Family Brewers;Fruited Spontanée;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Plata Medal;Plata;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2025-10;2025;Sako Brewery;Bogaerden oude kriek;Old Fruit-Lambic;Old Fruit-Lambic;Old Fruit-Lambic;Belgian Lambic;Bronce Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2018-10;2018;Brouwerij Boon;Geuze Mariage Parfait;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2018-10;2018;Brouwerij Boon;Oude Geuze Boon Black Label;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2018-10;2018;Brouwerij Boon;Oude Geuze Boon VAT 108;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2018-10;2018;Gueuzerie Tilquin S.A.;Oude Gueuze Tilquin à l'ancienne;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Bronze Medal;;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2019-10;2019;Brouwerij Boon;Oude Geuze Boon Black Label Edition N°4;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2019-10;2019;Lambiek Fabriek;Oude Geuze Brett Elle;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2019-10;2019;Lindemans Brewery;Old Gueuze Cuvée René;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2019-10;2019;Oud Beersel BVBA;Oude Geuze Vandervelden 137;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2020-10;2020;Firestone;Feral One;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2020-10;2020;Lindemans Brewery;Oude Gueuze Cuvée René;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2020-10;2020;Oud Beersel BVBA;Oude Geuze Oud Beersel;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2020-10;2020;Oud Beersel BVBA;Oude Geuze Vandervelden;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2021-10;2021;Brouwerij Boon;Oude Geuze Boon Black Label;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2021-10;2021;Gueuzerie Tilquin S.A.;Oude Gueuze Tilquin à l'ancienne;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2021-10;2021;Lambiek Fabriek;Young/Wild Fontan-Elle;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2021-10;2021;Lindemans nv;Oude Gueuze Cuvée René Linedmans;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2022-10;2022;Brouwerij Boon;Oude Geuze Boon VAT 93;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2022-10;2022;BV Lambiek Fabriek;Organic Geuze Natur-Elle;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2023-10;2023;BV Lambiek Fabriek;Organic Geuze Natur-Elle;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2023-10;2023;BV Lambiek Fabriek;Oude Geuze Brett Elle;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2023-10;2023;BV Lambiek Fabriek;Young/Wild Fontan-Elle;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2023-10;2023;Gueuzerie Tilquin S.A.;Oude Gueuze Tilquin à l'ancienne - Cuvée Marie-Catherine;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2023-10;2023;Lindemans nv;Lindemans Oude Gueuze Cuvée René;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2024-10;2024;Brouwerij Den Herberg;Oude Geuze Devillé;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2024-10;2024;Geuzestekerij Parrain - Cuvée Armand BV;Parrain Oude Geuze;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2024-10;2024;Gueuzerie Tilquin S.A.;Oude Gueuze Tilquin à l'ancienne;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2024-10;2024;Horal Vzw;Megablend Oude Geuze;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2024-10;2024;Lindemans nv;Lindemans Oude Gueuze Cuvée René;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2025-10;2025;Garage Project;Chance, Luck/Magic - 2021;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Bronce Medal;Bronce;Beer;BeerStyle;;Nueva Zelanda
Brussels Beer Challenge;Bélgica;2025-10;2025;Gueuzerie Tilquin S.A.;Oude Gueuze Tilquin à l'ancienne;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Plata Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2025-10;2025;Horal Vzw;Oude Geuze Megablend;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Plata Medal;Plata;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2025-10;2025;Lindemans nv;Oude Gueuze Pure 2017;Old Gueuze-Lambic;Old Gueuze-Lambic;Old Gueuze-Lambic;Belgian Lambic;Oro Medal;Oro;Beer;BeerStyle;;Bélgica
Brussels Beer Challenge;Bélgica;2018-10;2018;Brasserie de la Plaine;Ras Alhague;Other Sour Ale;Other Sour Ale;Other Sour Ale;Sour Ale;Bronze Medal;Bronce;Beer;BeerStyle;;Francia
Brussels Beer Challenge;Bélgica;2018-10;2018;Cervejaria Bodebrown Ltda;Bodebrown Sour Punk (wild);Other Sour Ale;Other Sour Ale;Other Sour Ale;Sour Ale;Bronze Medal;;Beer;BeerStyle;;Brasil
Brussels Beer Challenge;Bélgica;2018-10;2018;Microbrasserie Le Trou du diable;Le Hérisson;Other Sour Ale;Other Sour Ale;Other Sour Ale;Sour Ale;Silver Medal;Plata;Beer;BeerStyle;;Canadá
